Series Name,"Series Code","Country Name","Country Code","1960 [YR1960]","1961 [YR1961]","1962 [YR1962]","1963 [YR1963]","1964 [YR1964]","1965 [YR1965]","1966 [YR1966]","1967 [YR1967]","1968 [YR1968]","1969 [YR1969]","1970 [YR1970]","1971 [YR1971]","1972 [YR1972]","1973 [YR1973]","1974 [YR1974]","1975 [YR1975]","1976 [YR1976]","1977 [YR1977]","1978 [YR1978]","1979 [YR1979]","1980 [YR1980]","1981 [YR1981]","1982 [YR1982]","1983 [YR1983]","1984 [YR1984]","1985 [YR1985]","1986 [YR1986]","1987 [YR1987]","1988 [YR1988]","1989 [YR1989]","1990 [YR1990]","1991 [YR1991]","1992 [YR1992]","1993 [YR1993]","1994 [YR1994]","1995 [YR1995]","1996 [YR1996]","1997 [YR1997]","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]","2023 [YR2023]"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Aruba","ABW","","","","","","","","","","","","","","","","","","","","","","","","","","","39090000","48410000","41025000","40100000","38500000","35360000","33325000","39064999","38325000","38675000","36925000","29020001","28779999","29025000","27445000","27650000","34275000","41725000","43800000","51300000","63570000","83375000","86975000","108750000","140550000","153100000","166400000","120450000","120600000","106000000","114590000","129650000","128165000","152300000","189110000","182010000","181235000",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Australia","AUS","150232000","162041500","190780800","208726000","226875200","248298400","225216000","232320000","307671700","264492800","255199730","324127270","480260000","827394750","1375997000","1035045000","992299000","1261702550","1760766000","4061696000.00001","4676503500","3153367500","3624130800","3025676500","2445127300","2593437000","3100227900","3839881199.99996","3254513250","3181133000","3054205000","2805108800","2644005500","3086525570.99","3028058250","3055711750","2917444250","742912025.6","737055774.389999","743620500","703415350","708669500","878468250","1069411750","1123032000","1315845000","1630570500","2139402500","2232648250","2792030953.6875","3608480700","3930665271.44","4272127375.35999","3092414317.08","3096265393.44","2653180000","2683697800","3036403000","2832446500","2391110000","3392633400","4087944600","3316600500","5098252800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Austria","AUT","298185600","304188100","454577340","537530840","602062160","702716080","704433420","704985600","855179000","718784000","761974300","908507490","1353294800","2343555500","3893747000","2928139500","2813580000","3463125250","4757978000","10808320000","12444934500","8391622499.99996","9648814200.00002","8059950500","6515612200.00003","6911472000.00005","8264798700","10236778600","8675146499.99998","8283858000.00001","7851304999.99998","7082608000","6643005500","7267652413.96","7029954750","4638679500","3968699000","2284744678.73","2775255303.57","3802565250","3330999650","3089058000","3498792000.00001","4259287999.99998","4330067999.99999","4988924999.99996","5901203099.99996","7505417500","7829489499.99996","9789675000","12652311000","13782062000","14979328000","10842909000","10856412000","9542120000","10315391800","11671093000","11537413300","13710046000","17023682200","16384540200","16314774700","18565724800"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Azerbaijan","AZE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","2379612.79324999","1225074.40881497","1214942.765185","0","0","0","0","0","0","0","0","0","0","69926.25","90373.6499900818","98443.2999992371","106995.200000763","775113745.23","1169852839.38","1028228863.8","737403769.746","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bahamas, The","BHS","","","","","","","","","0","0","0","0","0","0","0","0","0","1418569.99999999","2892800","8755200","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bahrain","BHR","","","","","","0","8445600","8342400","9930300","8342400","8856690","10340310","15381300","26603250","44387000","21037500","20212500","24742500","33900000","76800000","88425000.000003","59625000","68535000","57225000","46245000","49050000","58635000","72615000","61537500","60150000.0000001","57750000","53040000","49987500","58597498.5","57487500","58012500","55387500","43530001.5","43169998.5","43537500","41167500","41475000","51412500","62587500","65700000","76950000","95355000","125062500","130462500","163125000","210825000","229650000","249600000","180675000","180900000","159000000","171885000","194475000","192247500","228450000","283665000","273015000","271852500","309360000"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bangladesh","BGD","","","","","","","","","","","","","0","0","0","0","0","8824825","6034200","27392000","31538250","21266250","25906230","21802725","18174285","19678860","25772037","33102758","30448754.9999999","30636400","30915500","29709472","28879445","35764006.5844998","36098317.5","36509200","34857200","29320648.2103601","30360884.3450699","30738926.25","29823932.5999999","30603020","38521672.5","46732000","49318800","57763800","71563291.8000002","94047000","98073879.75","122647162.5","610549200","665219500","723008000","523310108.950001","534393361.439999","469698974.400002","507762315.816002","582293725.959999","575644587.343998","684045489.579998","849375197.206001","817486011.546005","817675430.3335","931688828.767998"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Barbados","BRB","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1650600","2408850","2768814","2311890","1868298","1981620","2368854","2933646","2486115","2430060","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Belarus","BLR","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","68550000","41725000","87600000","205200000","317850000","226446500","376166875","808831119.86339","1594399200","1852050700","2286003200","1717255650","1645707600","1429198000","1700744780","1939823300","1934650675","2387150200","3041456130","3122927580","3141527490","3582182560"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Belgium","BEL","1190565820.56682","1253832317.90635","1367677570.04839","1374451171.09007","1456073946.66195","1563601318.17963","1532923397.68836","1487706013.79266","1823845901.58664","1527621264.48792","1569952105.06856","1924876457.63339","2796040606.36263","4733710273.7634","7865337019.94952","5914817785.77973","5682864147.1217","7002373703.92404","9625426720.46556","17516001736.139","20150860674.8437","13587730480.4926","15618198884.3699","13040802964.2966","10538609577.7003","11177831112.2543","13362122880.0617","16278871252.4314","13812526001.8969","12121342935.6825","11637450769.206","10688432105.7116","8345526709.2128","9782985522.8768","9597668751.1051","7943647419.1008","5656961997.8459","4445905019.2133","2741194625.6048","2408494500","2277386100.00001","2294120500","2842768500","3459419750","3629706000","3755159999.99996","4653324000.00002","6101382500","6362221250.00003","7955062500","10279827000","11196203000","12168832000","8807304000","8818272000","7749660000","8377674900","9478711500","9370143150","11134653000","13825832100","13306751100","13250090850","15078206400"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Belize","BLZ","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Benin","BEN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bermuda","BMU","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bhutan","BTN","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10072818.9230001","3782200","43682401.063585","",""
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bolivia","BOL","915418.4","1004270.65","3005989.98","2004576.44","4716124.32","6722986.48","7339613.49","9353132.8","13048875.1","11766867.2","13559966.09","16704050.91","26330838.6","45541396.5000002","76052275.5","57433777.5","55766691.75","99276312.15","145672820","349640704","447258366","329427727.498483","406658819.098257","348680317.998544","281461251.8","292480245","349639723.2","433002276.8","366753654","358447083","344121085","315987921.6","297779536.5","349051235.16486","342430042.500001","345528637.999998","346650792.249996","272407557.18689","270375715.205427","273648189.260274","257677059.292774","259601774.399997","312270919.233001","380145997.852496","399050801.820001","467381418.57","579170307.573","759608689.537499","792407385.5775","990793942.875","1596823687.5","2083958756.58999","2264995016.96","1646338195.095","1648388429.46","1448832284.6","1566242372.56896","1772085902.81504","1751788582.6015","2081671291.93","2584798805.101","2487754378.491","2477161500.9385","1558892857.71698"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Bosnia and Herzegovina","BIH","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","46073368.6499901","44976000","97984000","106496000","115632000","115776000","101760000","110006400","124464000","123038400","146208000","181545600","174729600","86992800","98995200"
Total reserves in monetary gold holdings (current US$),"(Total reserves in monetary gold holdings (current US$))","Botswana","BWA","","","","","","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
